Whole Person Physiome Table for Pulmonary System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Minyan Zhu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0002-1868-3896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer Name(s):,Maria Basil,Katalin Susztak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer ORCID(s):,0000-0003-4716-1285,0000‑0002‑1005‑3726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,"West’s Respiratory Physiology (11e, 2021)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,10/28/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"List physiological functions as a hierarchy, starting with the body system in Function/1 (this should be the same as the table name), a major life function in Function/2, and more specific functions in subsequent columns. Add more columns if needed. Place limited explanatory text if needed in Function/Notes. Each function should include a ID from Gene Ontology (GO) if possible or another standard ontology. The LABEL column is the label for that ID as it appears in that ontology.",,,,,,,,,,,,,,,,,,,,,,,,,"Provide a very brief description (a few words) of the specific processes that occur during the corresponding function (e.g., a chemical reaction, physical change, feedback loop, etc.) in the Process column. Enter whether the Effector is a cell, tissue, or organ. Provide the anatomical location of the Effector in EffectorLocation along with the associated UBERON ID, if avaialble. Enter the Effector and its UBERON ID in the following columns. See Glossary for detailed instructions on tabulating the Signal, Effect, Behavior, Behavior X, Behavior Y, and X Target columns.",,,,,,,,,,,,,,"Provide a very brief description (a few words) of the specific processes that occur during the corresponding function (e.g., a chemical reaction, physical change, feedback loop, etc.).",,,"Indicate the signal scale category for this process: autocrine, paracrine, intra-organ, circulatory, systemic","Indicate the signal scale category for this process: autocrine, paracrine, intra-organ, circulatory, systemic","Indicate the time scale category for this process: milliseconds, seconds, minutes, hours, days, weeks, years.","OPTIONAL FOR NOW. List clinical measures, such as laboratory tests, vital signs, or radiology studies, related to the physiological function. These columns are simple lists and are NOT hierarchical. Include an ID for the measurement, such as a LOINC code, if known. Add more columns if needed.",,,,,,,,,,,,"OPTIONAL FOR NOW. List other interacting physiological functions. These columns are simple lists and NOT hierarchical. Add more columns if needed. For the LABEL and ID columns, use Gene Ontology (GO) if possible.",,,,,,,,,,,,"REQUIRED. Enter references in support of the information on this row. The ID column should include a standard identifier, such as a DOI or ISBN. The optional CHAPTER column should be used to list the relevant chapters in a book. The optional NOTES column can be used to clarify which part of the row the reference is for, such as a reference about the anatomical structures involved in the function rather than the interactions. Add more sets of reference columns if needed, making sure to include the ID column.",,,,,,,,,,,
Function/1,Function/1/LABEL,Function/1/ID,Function/2,Function/2/LABEL,Function/2/ID,Function/3,Function/3/LABEL,Function/3/ID,Function/4,Function/4/LABEL,Function/4/ID,Function/5,Function/5/LABEL,Function/5/ID,Function/6,Function/6/LABEL,Function/6/ID,Function/7,Function/7/LABEL,Function/7/ID,Function/8,Function/8/LABEL,Function/8/ID,Function/Notes,Process,EffectorScale,EffectorLocation,EffectorLocation/LABEL,EffectorLocation/ID,Effector,Effector/LABEL,Effector/ID,Signal,Effect,Behavior,Behavior X,Behavior Y,EffectParameters (quantitative values),Process,Process triple,Function,SignalScale,EffectScale,TimeScale,ClinicalMeasure/1,ClinicalMeasure/1/LABEL,ClinicalMeasure/1/ID,ClinicalMeasure/2,ClinicalMeasure/2/LABEL,ClinicalMeasure/2/ID,ClinicalMeasure/3,ClinicalMeasure/3/LABEL,ClinicalMeasure/3/ID,ClinicalMeasure/4,ClinicalMeasure/4/LABEL,ClinicalMeasure/4/ID,Interaction/1,Interaction/1/LABEL,Interaction/1/ID,Interaction/2,Interaction/2/LABEL,Interaction/2/ID,Interaction/3,Interaction/3/LABEL,Interaction/3/ID,Interaction/4,Interaction/4/LABEL,Interaction/4/ID,REF/1,REF/1/ID,REF/1/CHAPTER,REF/1/NOTES,REF/2,REF/2/ID,REF/2/CHAPTER,REF/2/NOTES,REF/3,REF/3/ID,REF/3/CHAPTER,REF/3/NOTES
respiratory system process,respiratory system process,GO:0003068,Mechanics of Breathing,respiratory gaseous exchange by respiratory system,GO:0007585,Lung compliance & elasticity,lung field specification,GO:0060424,Expiration mechanics,,,,,,,,,,,,,,,,Elastic recoil and abdominal muscles:  Abdominals ↑ intra-abdominal P → push diaphragm up ,Tissue,Lung & chest wall,lung,UBERON:0002048,lung elastic tissue,lung elastic tissue,UBERON:0003615,,increases,X process,diaphragmatic elevation,,cm,Elastic recoil and abdominal muscles, Abdominals ↑ intra-abdominal P → push diaphragm up ,Expiration mechanics,,Intra-organ,Seconds,Flow–volume curve,,,,,,,,,,,,Recoil forces vs airway P,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-58,7,,,,,,,,,
respiratory system process,respiratory system process,GO:0003068,Mechanics of Breathing,respiratory gaseous exchange by respiratory system,GO:0007585,Lung compliance & elasticity,lung field specification,GO:0060424,Expiration mechanics,,,,,,,,,,,,,,,,Elastic recoil and abdominal muscles:  Internal intercostals ↓ rib space volume,Tissue,Lung & chest wall,lung,UBERON:0002048,lung elastic tissue,lung elastic tissue,UBERON:0003615,,decreases,X process,rib space volume,,L,Elastic recoil and abdominal muscles, Internal intercostals ↓ rib space volume,Expiration mechanics,,Intra-organ,Seconds,Flow–volume curve,,,,,,,,,,,,Recoil forces vs airway P,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-58,7,,,,,,,,,
respiratory system process,respiratory system process,GO:0003069,Mechanics of Breathing,respiratory gaseous exchange by respiratory system,GO:0007585,Lung compliance & elasticity,lung field specification,GO:0060424,Elastic properties of lung,elastic fiber,GO:0071953,,,,,,,,,,,,,,Pressure–volume relationship:  Nonlinear curve (flat at high vol.) ,Organ,Lung,lung,UBERON:0002048,"Parenchyma (alveoli), lung elastic tissue",lung parenchyma,UBERON:0008946,,does,X description,compliance curve,,L·cmH₂O⁻¹,Pressure–volume relationship, Nonlinear curve (flat at high vol.) ,Elastic properties of lung,,Intra-organ,Seconds–minutes,Compliance (ml/cm H_O),,,,,,,,,,,,Tissue vs surface tension components,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-59,7,,,,,,,,,
respiratory system process,respiratory system process,GO:0003069,Mechanics of Breathing,respiratory gaseous exchange by respiratory system,GO:0007585,Lung compliance & elasticity,lung field specification,GO:0060424,Elastic properties of lung,elastic fiber,GO:0071953,,,,,,,,,,,,,,Pressure–volume relationship:  Hysteresis between inflation & deflation ,Organ,Lung,lung,UBERON:0002048,"Parenchyma (alveoli), lung elastic tissue",lung parenchyma,UBERON:0008946,,does,X process,hysteresis,,cmH₂O·L,Pressure–volume relationship, Hysteresis between inflation & deflation ,Elastic properties of lung,,Intra-organ,Seconds–minutes,Compliance (ml/cm H_O),,,,,,,,,,,,Tissue vs surface tension components,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-59,7,,,,,,,,,
respiratory system process,respiratory system process,GO:0003069,Mechanics of Breathing,respiratory gaseous exchange by respiratory system,GO:0007585,Lung compliance & elasticity,lung field specification,GO:0060424,Elastic properties of lung,elastic fiber,GO:0071953,,,,,,,,,,,,,,Pressure–volume relationship:  Compliance = ΔV / ΔP,Organ,Lung,lung,UBERON:0002048,"Parenchyma (alveoli), lung elastic tissue",lung parenchyma,UBERON:0008946,,does,X equivalence to Y,lung compliance,change in volume (ΔV) divided by change in pressure (ΔP),L·cmH₂O⁻¹,Pressure–volume relationship, Compliance = ΔV / ΔP,Elastic properties of lung,,Intra-organ,Seconds–minutes,Compliance (ml/cm H_O),,,,,,,,,,,,Tissue vs surface tension components,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-59,7,,,,,,,,,
respiratory system process,respiratory system process,GO:0003070,Mechanics of Breathing,respiratory gaseous exchange by respiratory system,GO:0007585,Lung compliance & elasticity,lung field specification,GO:0060424,Surface tension and surfactant,surfactant secretion,GO:0160069,,,,,,,,,,,,,,Alveolar film mechanics:  Laplace law: P = 2T/r ,Tissue,Lung,lung,UBERON:0002048,pulmonary alveolus epithelium,pulmonary alveolus epithelium,UBERON:0004821,,does,X equivalence to Y,pressure,surface tension / radius,cmH₂O,Alveolar film mechanics, Laplace law: P = 2T/r ,Surface tension and surfactant,,Segmental (intra-organ),Minutes–hours,Static compliance,,,Oxygen,Oxygen saturation in Blood,20564-1,,,,,,,DPPC turnover,,, interdependence,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-60,7,,,,,,,,,
respiratory system process,respiratory system process,GO:0003070,Mechanics of Breathing,respiratory gaseous exchange by respiratory system,GO:0007585,Lung compliance & elasticity,lung field specification,GO:0060424,Surface tension and surfactant,surfactant secretion,GO:0160069,,,,,,,,,,,,,,Alveolar film mechanics:  DPPC in surfactant reduces T ,Tissue,Lung,lung,UBERON:0002048,pulmonary alveolus epithelium,pulmonary alveolus epithelium,UBERON:0004821,,decreases,X process,surface tension,,N·m⁻¹,Alveolar film mechanics, DPPC in surfactant reduces T ,Surface tension and surfactant,,Segmental (intra-organ),Minutes–hours,Static compliance,,,Oxygen,Oxygen saturation in Blood,20564-1,,,,,,,DPPC turnover,,, interdependence,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-60,7,,,,,,,,,
respiratory system process,respiratory system process,GO:0003070,Mechanics of Breathing,respiratory gaseous exchange by respiratory system,GO:0007585,Lung compliance & elasticity,lung field specification,GO:0060424,Surface tension and surfactant,surfactant secretion,GO:0160069,,,,,,,,,,,,,,Alveolar film mechanics:  Type II cells secrete surfactant (lamellar bodies),Cell,Lung,lung,UBERON:0002048,Type II pneumocyte,pulmonary alveolar type 2 cell,CL:0002063,,does,X secretion,surfactant,,mg·h⁻¹,Alveolar film mechanics, Type II cells secrete surfactant (lamellar bodies),Surface tension and surfactant,,Cellular,Minutes–hours,Static compliance,,,Oxygen,Oxygen saturation in Blood,20564-1,,,,,,,DPPC turnover,,, interdependence,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-60,7,,,,,,,,,
respiratory system process,respiratory system process,GO:0003071,Mechanics of Breathing,respiratory gaseous exchange by respiratory system,GO:0007585,Lung compliance & elasticity,lung field specification,GO:0060424,Regional ventilation,tripartite regional subdivision,GO:0007351,,,,,,,,,,,,,,Intrapleural pressure gradient:  Weight of lung → base Ppl less negative ,Organ,Lung,lung,UBERON:0002048,Whole lung,lung,UBERON:0002048,,does,X formation,pleural pressure gradient,,cmH₂O,Intrapleural pressure gradient, Weight of lung → base Ppl less negative ,Regional ventilation,,Intra-organ,Seconds,Ventilation–Perfusion Ratio,,,,,,,,,,,,Gravity + elastic gradient,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-61,7,,,,,,,,,
respiratory system process,respiratory system process,GO:0003071,Mechanics of Breathing,respiratory gaseous exchange by respiratory system,GO:0007585,Lung compliance & elasticity,lung field specification,GO:0060424,Regional ventilation,tripartite regional subdivision,GO:0007351,,,,,,,,,,,,,,Intrapleural pressure gradient:  Base on steep P–V slope → ventilates more ,Organ,Lung,lung,UBERON:0002048,Whole lung,lung,UBERON:0002048,,increases,X distribution,ventilation,,L·min⁻¹,Intrapleural pressure gradient, Base on steep P–V slope → ventilates more ,Regional ventilation,,Intra-organ,Seconds,Ventilation–Perfusion Ratio,,,,,,,,,,,,Gravity + elastic gradient,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-61,7,,,,,,,,,
respiratory system process,respiratory system process,GO:0003071,Mechanics of Breathing,respiratory gaseous exchange by respiratory system,GO:0007585,Lung compliance & elasticity,lung field specification,GO:0060424,Regional ventilation,tripartite regional subdivision,GO:0007351,,,,,,,,,,,,,,"Intrapleural pressure gradient:  Apex resting volume large, ΔV small",Organ,Lung,lung,UBERON:0002048,Whole lung,lung,UBERON:0002048,,decreases,X change,volume change,,L,Intrapleural pressure gradient," Apex resting volume large, ΔV small",Regional ventilation,,Intra-organ,Seconds,Ventilation–Perfusion Ratio,,,,,,,,,,,,Gravity + elastic gradient,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-61,7,,,,,,,,,
respiratory system process,respiratory system process,GO:0003072,Mechanics of Breathing,respiratory gaseous exchange by respiratory system,GO:0007585,Lung compliance & elasticity,lung field specification,GO:0060424,Airway closure,stomatal closure,GO:0090332,,,,,,,,,,,,,,Terminal bronchiolar collapse:  Small airways close at low vol → gas trapping ,Organ,Bronchioles,bronchus,UBERON:0002185,Respiratory bronchioles,right lung respiratory bronchiole - what does this mean? ,UBERON:0003542,,increases,X closure,airway closure,,L,Terminal bronchiolar collapse, Small airways close at low vol → gas trapping ,Airway closure,,Intra-organ,Seconds,Closing volume,,,Nitrogen,Nitrogen [Presence] in Sweat ?? i have never heard of this ,47712-5,,,,,,,Elastic recoil loss → closure,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-62,7,,,,,,,,,
respiratory system process,respiratory system process,GO:0003072,Mechanics of Breathing,respiratory gaseous exchange by respiratory system,GO:0007585,Lung compliance & elasticity,lung field specification,GO:0060424,Airway closure,stomatal closure,GO:0090332,,,,,,,,,,,,,,Terminal bronchiolar collapse:  Closure vol ↑ with age & emphysema ,Organ,Bronchioles,bronchus,UBERON:0002185,Respiratory bronchioles,right lung respiratory bronchiole,UBERON:0003542,,increases,X volume,closure volume,,L,Terminal bronchiolar collapse, Closure vol ↑ with age & emphysema ,Airway closure,,Intra-organ,Seconds,Closing volume,,,Nitrogen,Nitrogen [Presence] in Sweat,47712-5,,,,,,,Elastic recoil loss → closure,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-62,7,,,,,,,,,
respiratory system process,respiratory system process,GO:0003072,Mechanics of Breathing,respiratory gaseous exchange by respiratory system,GO:0007585,Lung compliance & elasticity,lung field specification,GO:0060424,Airway closure,stomatal closure,GO:0090332,,,,,,,,,,,,,,Terminal bronchiolar collapse:  Trapped gas = FRC reduction,Organ,Bronchioles,bronchus,UBERON:0002185,Respiratory bronchioles,right lung respiratory bronchiole,UBERON:0003542,,does,X lowering Y,Trapped gas,functional residual capacity,L,Terminal bronchiolar collapse, Trapped gas = FRC reduction,Airway closure,,Intra-organ,Seconds,Closing volume,,,Nitrogen,Nitrogen [Presence] in Sweat,47712-5,,,,,,,Elastic recoil loss → closure,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-62,7,,,,,,,,,
respiratory system process,respiratory system process,GO:0003073,Mechanics of Breathing,respiratory gaseous exchange by respiratory system,GO:0007585,Lung compliance & elasticity,lung field specification,GO:0060424,Chest wall elasticity,structural molecule activity conferring elasticity,GO:0097493,,,,,,,,,,,,,,"Lung–chest interaction (FRC):  Lung recoils inward, wall springs out ",Organ,Thoracic wall ,thoracic wall,UBERON:0016403,Thoracic wall ,thoracic wall,UBERON:0016403,,does,X process,lung recoil,,cmH₂O,Lung–chest interaction (FRC)," Lung recoils inward, wall springs out ",Chest wall elasticity,,Intra-organ,Seconds–minutes,Relaxation P–V curve,,,,,,,,,,,,Opposing elastic forces,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-63,7,,,,,,,,,
respiratory system process,respiratory system process,GO:0003073,Mechanics of Breathing,respiratory gaseous exchange by respiratory system,GO:0007585,Lung compliance & elasticity,lung field specification,GO:0060424,Chest wall elasticity,structural molecule activity conferring elasticity,GO:0097493,,,,,,,,,,,,,,Lung–chest interaction (FRC):  FRC = balance point (P = 0) ,Organ,Thoracic wall ,thoracic wall,UBERON:0016403,Thoracic wall ,thoracic wall,UBERON:0016403,,does,X equivalence to Y,functional residual capacity,balance point of recoil and expansion,L,Lung–chest interaction (FRC), FRC = balance point (P = 0) ,Chest wall elasticity,,Intra-organ,Seconds–minutes,Relaxation P–V curve,,,,,,,,,,,,Opposing elastic forces,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-63,7,,,,,,,,,
respiratory system process,respiratory system process,GO:0003073,Mechanics of Breathing,respiratory gaseous exchange by respiratory system,GO:0007585,Lung compliance & elasticity,lung field specification,GO:0060424,Chest wall elasticity,structural molecule activity conferring elasticity,GO:0097493,,,,,,,,,,,,,,Lung–chest interaction (FRC):  CL⁻¹ + CCW⁻¹ = CT⁻¹,Organ,Thoracic wall ,thoracic wall,UBERON:0016403,Thoracic wall ,thoracic wall,UBERON:0016403,,does,X equivalence to Y,total compliance,reciprocal sum of lung and chest wall compliance,L·cmH₂O⁻¹,Lung–chest interaction (FRC), CL⁻¹ + CCW⁻¹ = CT⁻¹,Chest wall elasticity,,Intra-organ,Seconds–minutes,Relaxation P–V curve,,,,,,,,,,,,Opposing elastic forces,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-63,7,,,,,,,,,
respiratory system process,respiratory system process,GO:0003074,Mechanics of Breathing,respiratory gaseous exchange by respiratory system,GO:0007585,Respiratory muscle contraction,muscle contraction,GO:0006936,Airway resistance,respiratory basal cell differentiation,GO:1902691,,,,,,,,,,,,,,Flow through tubes (Poiseuille law):  R = 8ηl / πr⁴ ,Tissue,Airways,respiratory airway --> intrathoracic airways (for all resp airways,UBERON:0001005,Medium bronchi,bronchus,UBERON:0002185,,does,X equivalence to Y,airway resistance,viscosity × length / radius⁴,cmH₂O·s·L⁻¹,Flow through tubes (Poiseuille law), R = 8ηl / πr⁴ ,Airway resistance,,Segmental (intra-organ),Seconds,Airway Resistance,Airway resistance,75946-4,,,,,,,,,,β₂-agonists ↓R,,, ACh ↑R,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-64,7,,,,,,,,,
respiratory system process,respiratory system process,GO:0003074,Mechanics of Breathing,respiratory gaseous exchange by respiratory system,GO:0007585,Respiratory muscle contraction,muscle contraction,GO:0006936,Airway resistance,respiratory basal cell differentiation,GO:1902691,,,,,,,,,,,,,,Flow through tubes (Poiseuille law):  Laminar → P ∝ flow ,Tissue,Airways,respiratory airway,UBERON:0001005,Medium bronchi,bronchus,UBERON:0002185,,does,X relation,laminar flow,,,Flow through tubes (Poiseuille law), Laminar → P ∝ flow ,Airway resistance,,Segmental (intra-organ),Seconds,Airway Resistance,Airway resistance,75946-4,,,,,,,,,,β₂-agonists ↓R,,, ACh ↑R,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-64,7,,,,,,,,,
respiratory system process,respiratory system process,GO:0003074,Mechanics of Breathing,respiratory gaseous exchange by respiratory system,GO:0007585,Respiratory muscle contraction,muscle contraction,GO:0006936,Airway resistance,respiratory basal cell differentiation,GO:1902691,,,,,,,,,,,,,,Flow through tubes (Poiseuille law):  Turbulent → P ∝ (flow)²,Tissue,Airways,respiratory airway,UBERON:0001005,Medium bronchi,bronchus,UBERON:0002185,,does,X relation,turbulent flow,,,Flow through tubes (Poiseuille law), Turbulent → P ∝ (flow)²,Airway resistance,,Segmental (intra-organ),Seconds,Airway Resistance,Airway resistance,75946-4,,,,,,,,,,β₂-agonists ↓R,,, ACh ↑R,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-64,7,,,,,,,,,
respiratory system process,respiratory system process,GO:0003075,Mechanics of Breathing,respiratory gaseous exchange by respiratory system,GO:0007585,Respiratory muscle contraction,muscle contraction,GO:0006936,Dynamic compression,,,,,,,,,,,,,,,,Flow-limiting mechanism:  Forced exp → Ppl ↑ → airway compressed ,Tissue,Airways,respiratory airway,UBERON:0001005,Intrathoracic airways,trachea,UBERON:0003126,,decreases,X patency,airway patency,,,Flow-limiting mechanism, Forced exp → Ppl ↑ → airway compressed ,Dynamic compression,,Segmental (intra-organ),Seconds,Flow-volume curve,,,,,,,,,,,,Starling resistor analogy,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-65,7,,,,,,,,,
respiratory system process,respiratory system process,GO:0003075,Mechanics of Breathing,respiratory gaseous exchange by respiratory system,GO:0007585,Respiratory muscle contraction,muscle contraction,GO:0006936,Dynamic compression,,,,,,,,,,,,,,,,Flow-limiting mechanism:  Flow = Palv − Ppl (independent of effort) ,Tissue,Airways,respiratory airway,UBERON:0001005,Intrathoracic airways,trachea,UBERON:0003126,,does,X equivalence to Y,airflow,alveolar pressure − pleural pressure,L·s⁻¹,Flow-limiting mechanism, Flow = Palv − Ppl (independent of effort) ,Dynamic compression,,Segmental (intra-organ),Seconds,Flow-volume curve,,,,,,,,,,,,Starling resistor analogy,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-65,7,,,,,,,,,
respiratory system process,respiratory system process,GO:0003075,Mechanics of Breathing,respiratory gaseous exchange by respiratory system,GO:0007585,Respiratory muscle contraction,muscle contraction,GO:0006936,Dynamic compression,,,,,,,,,,,,,,,,Flow-limiting mechanism:  Equal pressure point moves distally,Tissue,Airways,respiratory airway,UBERON:0001005,Intrathoracic airways,trachea,UBERON:0003126,,increases,X risk,airway collapse,,,Flow-limiting mechanism, Equal pressure point moves distally,Dynamic compression,,Segmental (intra-organ),Seconds,Flow-volume curve,,,,,,,,,,,,Starling resistor analogy,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-65,7,,,,,,,,,
respiratory system process,respiratory system process,GO:0003076,Mechanics of Breathing,respiratory gaseous exchange by respiratory system,GO:0007585,Respiratory muscle contraction,muscle contraction,GO:0006936,Forced expiration test,,,,,,,,,,,,,,,,Evaluate obstruction / restriction:  FEV₁.₀ = vol in 1 s ,Tissue,Airways,respiratory airway,UBERON:0001005,Airway system,respiratory airway --> intrathoracic airways (for all resp airways,UBERON:0001005,,does,X equivalence to Y,forced expiratory volume (FEV₁),volume exhaled in 1 second,L,Evaluate obstruction / restriction, FEV₁.₀ = vol in 1 s ,Forced expiration test,,Segmental (intra-organ),Seconds,Forced Expiratory Volume in One Second,,,Forced Vital Capacity,Forced vital capacity [Volume] Respiratory system,19870-5,,,,,,,Effort-independent segment,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-66,7,,,,,,,,,
respiratory system process,respiratory system process,GO:0003076,Mechanics of Breathing,respiratory gaseous exchange by respiratory system,GO:0007585,Respiratory muscle contraction,muscle contraction,GO:0006936,Forced expiration test,,,,,,,,,,,,,,,,Evaluate obstruction / restriction:  FVC = total forced exp vol ,Tissue,Airways,respiratory airway,UBERON:0001005,Airway system,respiratory airway --> intrathoracic airways (for all resp airways,UBERON:0001005,,does,X equivalence to Y,forced vital capacity (FVC),total forced expiratory volume,L,Evaluate obstruction / restriction, FVC = total forced exp vol ,Forced expiration test,,Segmental (intra-organ),Seconds,Forced Expiratory Volume in One Second,,,Forced Vital Capacity,Forced vital capacity [Volume] Respiratory system,19870-5,,,,,,,Effort-independent segment,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-66,7,,,,,,,,,
respiratory system process,respiratory system process,GO:0003076,Mechanics of Breathing,respiratory gaseous exchange by respiratory system,GO:0007585,Respiratory muscle contraction,muscle contraction,GO:0006936,Forced expiration test,,,,,,,,,,,,,,,,Evaluate obstruction / restriction:  FEV₁/FVC ratio → pattern ID,Tissue,Airways,respiratory airway,UBERON:0001005,Airway system,respiratory airway --> intrathoracic airways (for all resp airways,UBERON:0001005,,does,X identification,pattern identification,,categorical,Evaluate obstruction / restriction, FEV₁/FVC ratio → pattern ID,Forced expiration test,,Segmental (intra-organ),Seconds,Forced Expiratory Volume in One Second,,,Forced Vital Capacity,Forced vital capacity [Volume] Respiratory system,19870-5,,,,,,,Effort-independent segment,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-66,7,,,,,,,,,
respiratory system process,respiratory system process,GO:0003077,Mechanics of Breathing,respiratory gaseous exchange by respiratory system,GO:0007585,Respiratory muscle contraction,muscle contraction,GO:0006936,Uneven ventilation,,,,,,,,,,,,,,,,Time constant variation (τ = RC):  Units with ↑R or ↓C fill slowly ,Organ,Lung,lung,UBERON:0002048,Small airways & parenchyma,intra-acinar venule,UBERON:8600061,,decreases,X process,filling rate,,L·s⁻¹,Time constant variation (τ = RC), Units with ↑R or ↓C fill slowly ,Uneven ventilation,,Intra-organ,Seconds,Ventilation distribution tests,,,,,,,,,,,,Frequency-dependent inequality,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-67,7,,,,,,,,,
respiratory system process,respiratory system process,GO:0003077,Mechanics of Breathing,respiratory gaseous exchange by respiratory system,GO:0007585,Respiratory muscle contraction,muscle contraction,GO:0006936,Uneven ventilation,,,,,,,,,,,,,,,,Time constant variation (τ = RC):  Short TI → less volume ,Organ,Lung,lung,UBERON:0002048,Small airways & parenchyma,intra-acinar venule,UBERON:8600061,,decreases,X process,tidal volume,,L,Time constant variation (τ = RC), Short TI → less volume ,Uneven ventilation,,Intra-organ,Seconds,Ventilation distribution tests,,,,,,,,,,,,Frequency-dependent inequality,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-67,7,,,,,,,,,
respiratory system process,respiratory system process,GO:0003077,Mechanics of Breathing,respiratory gaseous exchange by respiratory system,GO:0007585,Respiratory muscle contraction,muscle contraction,GO:0006936,Uneven ventilation,,,,,,,,,,,,,,,,Time constant variation (τ = RC):  Causes nonuniform ventilation,Organ,Lung,lung,UBERON:0002048,Small airways & parenchyma,intra-acinar venule,UBERON:8600061,,does,X heterogeneity,ventilation,,,Time constant variation (τ = RC), Causes nonuniform ventilation,Uneven ventilation,,Intra-organ,Seconds,Ventilation distribution tests,,,,,,,,,,,,Frequency-dependent inequality,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-67,7,,,,,,,,,
respiratory system process,respiratory system process,GO:0003078,Mechanics of Breathing,respiratory gaseous exchange by respiratory system,GO:0007585,Respiratory muscle contraction,muscle contraction,GO:0006936,Work of breathing,respiratory gaseous exchange by respiratory system,GO:0007585,,,,,,,,,,,,,,Pressure–volume work:  Work = P×V ,Organ,Lung,lung,UBERON:0002048,"Airway smooth muscle, Lung",smooth muscle cell,CL:0000192,,does,X equivalence to Y,mechanical work,pressure × volume displacement,,Pressure–volume work, Work = P×V ,Work of breathing,,Intra-organ,Seconds–minutes,P–V loop,,,O₂cost of breathing,,,,,,,,,Breathing pattern adapts to _work,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-68,7,,,,,,,,,
